,entryOwnerText_l
2256,"[('venier', 100), ('de', 100), ('sebastiani', 51)]"
2257,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2258,"[('zanardini', 100), ('carosi-cattarini', 50), ('antonelli', 49)]"
2259,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2260,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2261,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2262,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2263,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2264,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2265,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2266,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2267,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2268,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2269,"[('venier', 100), ('antonini', 73), ('santonini', 70)]"
2270,"[('venier', 100), ('nicolini', 70), ('nicoli', 67)]"
2271,"[('venier', 100), ('nicolini', 70), ('nicoli', 67)]"
2272,"[('venier', 100), ('nicolini', 70), ('nicoli', 67)]"
2273,"[('clero', 100), ('cero', 89), ('ceroni', 73)]"
2274,"[('clero', 100), ('cero', 89), ('ceroni', 73)]"
2275,"[('clero', 100), ('cero', 89), ('ceroni', 73)]"
2276,"[('gervasoni', 100), ('gerardini', 62), ('gherardini', 59)]"
2277,"[('battistelli', 60), ('bertelli', 59), ('mercatelli', 55)]"
2278,"[('croce', 100), ('monastero', 100), ('della', 100)]"
2279,"[('croce', 100), ('monastero', 100), ('della', 100)]"
2280,"[('croce', 100), ('monastero', 100), ('della', 100)]"
2281,"[('croce', 100), ('monastero', 100), ('della', 100)]"
2282,"[('crivelli', 100), ('lucatello', 100), ('zuanne', 100)]"
2283,"[('graziosi', 73), ('graziani', 64), ('grazioli', 64)]"
2284,"[('gregoletti', 100), ('andreoleti', 67), ('andreghetti', 64)]"
2285,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2286,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2287,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2288,"[('solari', 100), ('lazaroni', 67), ('grasolari', 64)]"
2289,"[('battistella', 55), ('rigamonti', 52), ('durati', 50)]"
2290,"[('gritti', 100), ('bonfandini gritti', 58), ('santonini', 53)]"
2291,"[('sartori', 100), ('fratello', 67), ('fradellini', 62)]"
2292,"[('vitalba', 100), ('de pietra', 46), ('tagliapietra', 43)]"
2293,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2294,"[('franceschi', 100), ('de', 100), ('francescheti', 69)]"
2295,"[('astori', 100), ('caliari fantinelli', 67), ('vastielli', 67)]"
2296,"[('franceschi', 100), ('francescheti', 69), ('franceschini', 69)]"
2297,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2298,"[('bianchi', 100), ('francesconi', 54), ('franceschini', 47)]"
2299,"[('franceschi', 100), ('franceschini', 63), ('francescheti', 58)]"
2300,"[('franceschi', 100), ('franceschini', 63), ('francescheti', 58)]"
2301,"[('franceschi', 100), ('franceschini', 63), ('francescheti', 58)]"
2302,"[('bianchi', 100), ('pietra', 100), ('zuccareda', 100)]"
2303,"[('bianchi', 100), ('zuccareda', 100), ('caliari fantinelli', 42)]"
2304,"[('bianchi', 100), ('zuccareda', 100), ('de', 100)]"
2305,"[('zuccareda', 100), ('donzuane', 54), ('domenici', 54)]"
2306,"[('pellegrini', 67), ('pelegrini', 62), ('allegrini', 62)]"
2307,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
2308,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
2309,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
2310,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
2311,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
2312,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
2313,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
2314,"[('raspi', 100), ('comincioli', 55), ('rombiasi', 52)]"
2315,"[('raspi', 100), ('comincioli', 55), ('rombiasi', 52)]"
2316,"[('fradellini', 78), ('festellini', 70), ('fistellini', 70)]"
2317,"[('di', 100), ('monastero', 100), ('mastrosanto', 53)]"
2318,"[('di', 100), ('monastero', 100), ('mastrosanto', 53)]"
2319,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2320,"[('zucato', 100), ('terlato', 57), ('zuccato', 57)]"
2321,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2322,"[('carosi-cattarini', 55), ('contarini', 49), ('costantini', 47)]"
2323,"[('carnio', 100), ('bonfandini gritti', 39), ('dalle boccole', 38)]"
2324,"[('benvenuti', 100), ('angeloni', 58), ('angelini', 58)]"
2325,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2326,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2327,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2328,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2329,"[('zucato', 100), ('terlato', 57), ('zuccato', 57)]"
2330,"[('curnis', 100), ('zuanne', 100), ('donzuane', 57)]"
2331,"[('bragadin', 100), ('bragadini', 75), ('balandan', 61)]"
2332,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2333,"[('raspi', 100), ('comincioli', 55), ('rombiasi', 52)]"
2334,"[('vendramin', 100), ('vendramini', 50), ('vendramina', 50)]"
2335,"[('vendramin', 100), ('vendramini', 50), ('vendramina', 50)]"
2336,"[('dana', 100), ('francesconi', 72), ('da fano', 67)]"
2337,"[('manfrotto', 100), ('manfredo', 100), ('manfredini', 57)]"
2338,"[('bragadin', 100), ('bragadini', 72), ('balandan', 58)]"
2339,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2340,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2341,"[('duodo', 100), ('piero', 100), ('de pietra', 60)]"
2342,"[('di', 100), ('monastero', 100), ('di zrin', 44)]"
2343,"[('raspi', 100), ('comincioli', 55), ('rombiasi', 52)]"
2344,"[('zanchi', 100), ('bortolini', 70), ('bortoloti', 70)]"
2345,"[('dolfin', 100), ('san', 100), ('sanudo (candiano)', 36)]"
2346,"[('dolfini', 100), ('di', 100), ('san', 100)]"
2347,"[('dolfini', 100), ('san', 100), ('sanudo (candiano)', 35)]"
2348,"[('dolfini', 100), ('di', 100), ('san', 100)]"
2349,"[('molin', 100), ('marcolin', 84), ('mamoli', 71)]"
2350,"[('molin', 100), ('marcolin', 84), ('mamoli', 71)]"
2351,"[('molin', 100), ('marcolin', 84), ('mamoli', 71)]"
2352,"[('zaccaria', 100), ('valier', 100), ('cavalieri', 58)]"
2353,"[('musitelli', 100), ('benedetti', 64), ('mussitelli', 62)]"
2354,"[('morosini', 100), ('morosinii', 67), ('amorosi', 64)]"
2355,"[('corner', 100), ('girolamo', 100), ('corneri', 64)]"
2356,"[('moro', 100), ('moroni', 75), ('morosini', 67)]"
2357,"[('michiel', 100), ('sagredo', 100), ('eustachio', 46)]"
2358,"[('michiel', 100), ('sagredo', 100), ('eustachio', 46)]"
2359,"[('michiel', 100), ('sagredo', 100), ('eustachio', 46)]"
2360,"[('michiel', 100), ('sagredo', 100), ('eustachio', 46)]"
2361,"[('michiel', 100), ('sagredo', 100), ('eustachio', 46)]"
2362,"[('gradenigo', 100), ('piero', 100), ('girolamo', 100)]"
2363,"[('gradenigo', 100), ('piero', 100), ('girolamo', 100)]"
2364,"[('gradenigo', 100), ('contarini', 56), ('centranigo', 55)]"
2365,"[('gradenigo', 100), ('contarini', 56), ('centranigo', 55)]"
2366,"[('gradenigo', 100), ('contarini', 56), ('centranigo', 55)]"
2367,"[('grimani', 100), ('francesconi', 79), ('franceschini', 76)]"
2368,"[('manfrotto', 100), ('manfredo', 100), ('manfredini', 57)]"
2369,"[('della', 100), ('ospital', 100), ('della costa', 69)]"
2370,"[('morosini', 100), ('morosinii', 67), ('mationi', 64)]"
2371,"[('zanchi', 100), ('bortolini', 70), ('bortoloti', 70)]"
2372,"[('valle', 100), ('dalla valle', 62), ('fratello', 53)]"
2373,"[('vendramin', 100), ('vendramini', 69), ('vendramina', 69)]"
2374,"[('gradenigo', 100), ('girolamo', 100), ('gradengo', 46)]"
2375,"[('michiel', 100), ('sagredo', 100), ('eustachio', 46)]"
2376,"[('longo', 100), ('longini', 67), ('lorenzoni', 60)]"
2377,"[('vendramin', 100), ('vendramini', 69), ('vendramina', 69)]"
2378,"[('vendramin', 100), ('vendramini', 69), ('vendramina', 69)]"
2379,"[('vendramin', 100), ('vendramini', 69), ('vendramina', 69)]"
2380,"[('raspi', 100), ('comincioli', 55), ('rombiasi', 52)]"
2381,"[('raspi', 100), ('comincioli', 55), ('rombiasi', 52)]"
2382,"[('raspi', 100), ('colombini', 50), ('filiasi', 46)]"
2383,"[('raspi', 100), ('comincioli', 55), ('rombiasi', 52)]"
2384,"[('vendramin', 100), ('vendramini', 43), ('vendramina', 43)]"
2385,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2386,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2387,"[('de lorenzo', 100), ('zorzi', 100), ('de', 100)]"
2388,"[('astori', 100), ('dario', 100), ('riario', 67)]"
2389,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2390,"[('curnis', 100), ('zuanne', 100), ('donzuane', 57)]"
2391,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2392,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2393,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2394,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2395,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2396,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2397,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2398,"[('vendramin', 100), ('vendramini', 64), ('vendramina', 64)]"
2399,"[('tiepolo', 100), ('federico', 100), ('de lorenzo', 82)]"
2400,"[('danieli', 56), ('giovannelli', 55), ('andrieli', 54)]"
2401,"[('marchesi', 100), ('marchesini', 59), ('marchesani', 59)]"
2402,"[('astori', 100), ('caliari fantinelli', 67), ('vastielli', 67)]"
2403,"[('melanzini', 62), ('terrazini', 62), ('dettamanina', 57)]"
2404,"[('curnis', 100), ('francesconi', 50), ('franceschini', 49)]"
2405,"[('pisenti', 100), ('angelini', 73), ('angelieri', 70)]"
2406,"[('girolamo', 100), ('comincioli', 57), ('gianola', 56)]"
2407,"[('bonicelli', 100), ('bonvicini', 52), ('bonfandini gritti', 51)]"
2408,"[('crivelli', 100), ('crivello', 59), ('crivella', 59)]"
2409,"[('bernardi', 100), ('bernardo', 67), ('bernardini', 62)]"
2410,"[('giacomelli', 69), ('morello', 61), ('comello', 61)]"
2411,"[('cavagnis', 100), ('antonini', 67), ('santonini', 64)]"
2412,"[('morosini', 100), ('di', 100), ('procuratia', 100)]"
2413,"[('de', 100), ('procuratia', 100), ('procurative', 60)]"
2414,"[('morosini', 100), ('di', 100), ('procuratia', 100)]"
2415,"[('molin', 100), ('de', 100), ('de luca', 44)]"
2416,"[('molin', 100), ('de', 100), ('de luca', 44)]"
2417,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2418,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2419,"[('molin', 100), ('bastian', 100), ('sebastiani', 70)]"
2420,"[('contarini', 41), ('foscherari', 40), ('ferrarioni', 40)]"
2421,"[('querini', 100), ('tommasini-degna', 60), ('tommasi', 55)]"
2422,"[('querini', 100), ('di', 100), ('de quadraginta', 49)]"
2423,"[('piero', 100), ('querini', 100), ('di', 100)]"
2424,"[('piero', 100), ('querini', 100), ('di', 100)]"
2425,"[('piero', 100), ('querini', 100), ('de', 100)]"
2426,"[('piero', 100), ('querini', 100), ('di', 100)]"
2427,"[('sa', 100), ('naronsi', 54), ('donÃ\xa0 dalle rose', 48)]"
2428,"[('piero', 100), ('querini', 100), ('de', 100)]"
2429,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2430,"[('salvador', 100), ('gerardini', 100), ('gherardini', 64)]"
2431,"[('sa', 100), ('naronsi', 54), ('donÃ\xa0 dalle rose', 48)]"
2432,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2433,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2434,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2435,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2436,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2437,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2438,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2439,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2440,"[('molin', 100), ('sebastiani', 72), ('molinetti', 67)]"
2441,"[('briani', 100), ('caliari fantinelli', 67), ('fratello', 61)]"
2442,"[('gallo', 100), ('gallino', 83), ('galli', 80)]"
2443,"[('vendramin', 100), ('vendramini', 55), ('vendramina', 55)]"
2444,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2445,"[('malipiero', 100), ('gasparoli', 69), ('malimpiero', 67)]"
2446,"[('carissimi', 59), ('carrissimi', 57), ('giustriniani', 53)]"
2447,"[('girolamo', 100), ('di', 100), ('monastero', 100)]"
2448,"[('pesaro', 100), ('lunarda', 67), ('resaro', 60)]"
2449,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2450,"[('sa', 100), ('naronsi', 52), ('donadoni', 50)]"
2451,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2452,"[('querini', 100), ('tristano', 61), ('tristanzo', 58)]"
2453,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2454,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2455,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2456,"[('morosini', 100), ('francesconi', 51), ('franceschini', 50)]"
2457,"[('polverini', 100), ('mationi', 64), ('silvestrini', 62)]"
2458,"[('polverini', 100), ('andreoleti', 69), ('banderini', 64)]"
2459,"[('andriani', 100), ('adriani', 93), ('ariani', 86)]"
2460,"[('polverini', 100), ('andreoleti', 69), ('banderini', 64)]"
2461,"[('venier', 100), ('marconi', 74), ('marcoleoni', 73)]"
2462,"[('vendramin', 100), ('zaccaria', 100), ('vendramini', 51)]"
2463,"[('vendramin', 100), ('zaccaria', 100), ('vendramini', 51)]"
2464,"[('gallo', 100), ('gallino', 83), ('galli', 80)]"
2465,"[('gallo', 100), ('salomoni', 58), ('salomon', 52)]"
2466,"[('gallo', 100), ('salomoni', 58), ('salomon', 52)]"
2467,"[('toniolo', 67), ('toniollo', 64), ('antoni', 60)]"
2468,"[('girolamo', 100), ('di', 100), ('san', 100)]"
2469,"[('michiel', 100), ('da', 100), ('de micheli', 55)]"
2470,"[('bembo', 100), ('valier', 100), ('vallier', 63)]"
2471,"[('del', 100), ('bernardini', 62), ('monfardini', 62)]"
2472,"[('grimani', 100), ('antonini', 57), ('santonini', 55)]"
2473,"[('di', 100), ('sa', 100), ('sanudo (candiano)', 52)]"
2474,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2475,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2476,"[('sa', 100), ('naronsi', 47), ('contrari', 45)]"
2477,"[('di', 100), ('sa', 100), ('dionisio', 47)]"
2478,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2479,"[('morosini', 100), ('francesconi', 76), ('franceschini', 73)]"
2480,"[('lovisello', 64), ('bellato', 60), ('verlato', 60)]"
2481,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2482,"[('battaja', 59), ('battagia', 56), ('piazetta', 56)]"
2483,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2484,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2485,"[('morosini', 100), ('francesconi', 76), ('franceschini', 73)]"
2486,"[('morosini', 100), ('francesconi', 76), ('franceschini', 73)]"
2487,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2488,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2489,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2490,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2491,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2492,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2493,"[('michiel', 100), ('morosini', 100), ('michieli', 67)]"
2494,"[('morosini', 100), ('francesconi', 76), ('franceschini', 73)]"
2495,"[('lovisello', 64), ('bellato', 60), ('verlato', 60)]"
2496,"[('morosini', 100), ('francesconi', 76), ('franceschini', 73)]"
2497,"[('zorzi', 100), ('arigoni', 100), ('di zorzi', 77)]"
2498,"[('diedo', 100), ('de pietra', 76), ('de proti', 60)]"
2499,"[('cavalini', 64), ('cavalieri', 61), ('cavallaro', 61)]"
2500,"[('cavalini', 64), ('cavalieri', 61), ('cavallaro', 61)]"
2501,"[('dalle fornaci', 64), (""dall'oio"", 61), (""dall'orzo"", 58)]"
2502,"[('scola', 100), ('san', 100), ('zuanne', 100)]"
2503,"[('contarini', 100), ('battistini', 54), ('giustriniani', 51)]"
2504,"[('belotti', 61), ('bellotto', 58), ('bertoldo', 58)]"
2505,"[('negri', 100), ('muriani', 67), ('murioni', 67)]"
2506,"[('di', 100), ('scola', 100), ('san', 100)]"
2507,"[('mocenigo', 100), ('antonini', 55), ('santonini', 53)]"
2508,"[('bona', 100), ('bonamico', 64), ('zampieri', 64)]"
2509,"[('bollani', 100), ('zuanne', 100), ('congregazione', 39)]"
2510,"[('tron', 100), ('niccolo', 71), ('bonincontro', 67)]"
2511,"[('coradini', 48), ('orsolini', 48), ('dominico', 48)]"
2512,"[('de', 100), ('federici', 61), ('de medici', 58)]"
2513,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2514,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2515,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2516,"[('querini', 100), ('guerino', 57), ('guerini', 57)]"
2517,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2518,"[('cassetti', 100), ('massitelli', 67), ('castelli', 64)]"
2519,"[('gradenigo', 100), ('zuanne', 100), ('gradeniga', 50)]"
2520,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2521,"[('de', 100), ('de resti', 62), ('teneri', 50)]"
2522,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2523,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2524,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2525,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2526,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2527,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2528,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2529,"[('chiesa', 100), ('di', 100), ('san', 100)]"
2530,"[('aquillina', 94), ('ialina', 71), ('pasqualin', 71)]"
2531,"[('superchi', 100), ('soperchi', 88), ('peruchin', 75)]"
2532,"[('sora', 100), ('magistrato', 100), ('grattarol dalle navi', 46)]"
2533,"[('cassetti', 100), ('passerina', 62), ('catterina', 62)]"
2534,"[('sagredo', 100), ('zuanne', 100), ('donzuane', 64)]"
2535,"[('marcello', 100), ('steffani', 100), ('marcellini', 53)]"
2536,"[('steffani', 100), ('francesconi', 58), ('franceschini', 56)]"
2537,"[('bembo', 100), ('valier', 100), ('silvestri', 58)]"
2538,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2539,"[('fratello', 100), ('fondi', 100), ('dondirologio', 51)]"
2540,"[('girolamo', 100), ('battistelli', 60), ('battistella', 60)]"
2541,"[('priuli', 100), ('lodovici', 43), ('lodovichi', 42)]"
2542,"[('valaresso', 100), ('zaccaria', 100), ('galaresso', 59)]"
2543,"[('rocco', 100), ('di', 100), ('scola', 100)]"
2544,"[('corner', 100), ('corneri', 70), ('cornelio', 67)]"
2545,"[('mora', 100), ('zuanne', 100), ('donzuane', 63)]"
2546,"[('soranzo', 100), (""dall'orzo"", 61), ('avanzo', 60)]"
2547,"[('lio', 100), ('di', 100), ('scola', 100)]"
2548,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2549,"[('lioni', 100), ('solimano', 54), ('appoloni', 54)]"
2550,"[('tron', 100), ('zuanne', 100), ('donzuane', 74)]"
2551,"[('di', 100), ('valvason', 100), ('boccadivacca', 47)]"
2552,"[('del', 100), ('magistrato', 100), ('maistrorso', 57)]"
2553,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2554,"[('aicardo', 57), ('galissa', 57), ('lisiado', 57)]"
2555,"[('canal', 100), ('zaccaria', 100), ('calzavara', 70)]"
2556,"[('canal', 100), ('zaccaria', 100), ('calzavara', 70)]"
2557,"[('ponte', 100), ('da ponte', 77), ('niccolo', 67)]"
2558,"[('canal', 100), ('biasio', 100), ('desiaspinal', 61)]"
2559,"[('pisani', 100), ('sansovino', 61), ('pianigo', 57)]"
2560,"[('pisani', 100), ('sansovino', 58), ('pianigo', 55)]"
2561,"[('molin', 100), ('de', 100), ('sebastiani', 49)]"
2562,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
2563,"[('salomon', 100), ('girolamo', 100), ('salomoni', 58)]"
2564,"[('girolamo', 100), ('salamon', 100), ('grolla', 55)]"
2565,"[('dolfin', 100), ('pandolfin', 59), ('brandolina', 57)]"
2566,"[('molinari', 100), ('andreola', 70), ('de monaci', 67)]"
2567,"[('dolfin', 100), ('zuanne', 100), ('pandolfin', 53)]"
2568,"[('raffai', 100), ('girolamo', 100), ('grasolari', 58)]"
2569,"[('dolfin', 100), ('pandolfin', 59), ('brandolina', 57)]"
2570,"[('dolfin', 100), ('pandolfin', 59), ('brandolina', 57)]"
2571,"[('dolfin', 100), ('pandolfin', 59), ('brandolina', 57)]"
2572,"[('salamon', 100), ('lovisello', 61), ('vielmo', 60)]"
2573,"[('dolfin', 100), ('antonini', 52), ('pandolfin', 50)]"
2574,"[('dolfin', 100), ('antonini', 52), ('pandolfin', 50)]"
2575,"[('dolfin', 100), ('antonini', 52), ('pandolfin', 50)]"
2576,"[('dolfin', 100), ('antonini', 52), ('pandolfin', 50)]"
2577,"[('dolfin', 100), ('battistiol', 62), ('battistini', 62)]"
2578,"[('balbi', 100), ('bernardi', 100), ('rosa', 100)]"
2579,"[('michiel', 100), ('de', 100), ('de micheli', 47)]"
2580,"[('morosini', 100), ('francesconi', 55), ('franceschini', 54)]"
2581,"[('badoer', 100), ('moro', 100), ('badoaro', 67)]"
2582,"[('seda', 100), ('della', 100), ('dalla seda', 64)]"
2583,"[('seda', 100), ('della', 100), ('dalla seda', 64)]"
2584,"[('bembo', 100), ('valier', 100), ('silvestri', 58)]"
2585,"[('bembo', 100), ('valier', 100), ('silvestri', 58)]"
2586,"[('bembo', 100), ('valier', 100), ('silvestri', 58)]"
2587,"[('michiel', 100), ('de micheli', 69), ('domenici', 67)]"
2588,"[('marinoni', 67), ('malipiero', 64), ('marefrone', 64)]"
2589,"[('bembo', 100), ('contarini', 100), ('boccacini', 56)]"
2590,"[('del', 100), ('magistrato', 100), ('maistrorso', 57)]"
2591,"[('donÃ\xa0', 100), ('don', 100), ('cornelio', 63)]"
2592,"[('donÃ\xa0', 100), ('don', 100), ('cornelio', 63)]"
2593,"[('zen', 100), ('francesconi', 83), ('francescheti', 72)]"
2594,"[('giustinian', 100), ('giustiniani', 73), ('giustiniano', 73)]"
2595,"[('giustinian', 100), ('francesconi', 71), ('franceschini', 69)]"
2596,"[('lama', 100), ('bartolomei', 72), ('tolomeo', 64)]"
2597,"[('giustinian', 100), ('giustiniani', 73), ('giustiniano', 73)]"
2598,"[('giustinian', 100), ('giustiniani', 73), ('giustiniano', 73)]"
2599,"[('caliari fantinelli', 52), ('ascarelli', 48), ('locatelli', 48)]"
2600,"[('rezzonico', 94), ('ressonico', 82), ('regazzoni', 71)]"
2601,"[('masca', 100), ('antoniassi', 62), ('tagliapietra', 52)]"
2602,"[('fontana', 100), ('antonini', 50), ('fontanisi', 48)]"
2603,"[('di', 100), ('san', 100), ('monastero', 100)]"
2604,"[('san', 100), ('monastero', 100), ('de lorenzo', 82)]"
2605,"[('pisani', 100), ('girolamo', 100), ('rompiasi', 61)]"
2606,"[('pisani', 100), ('zane', 100), ('girolamo', 100)]"
2607,"[('giorgio', 100), ('san', 100), ('monastero', 100)]"
2608,"[('giorgio', 100), ('san', 100), ('monastero', 100)]"
2609,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2610,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2611,"[('regazzetti', 64), ('gelmeti', 64), ('galatazzi', 58)]"
2612,"[('donati', 100), ('dondirologio', 58), ('dondiorologio', 56)]"
2613,"[('lion', 100), ('girolamo', 100), ('lion gavazza', 50)]"
2614,"[('barbieri', 100), ('barberini', 52), ('giavarina', 52)]"
2615,"[('reggia', 100), ('maraveggia', 52), ('dalla siega', 50)]"
2616,"[('cavazza', 100), ('lion', 100), ('girolamo', 100)]"
2617,"[('reggia', 100), ('giavarina', 67), ('ravergi', 64)]"
2618,"[('vidman', 100), ('lodovici', 70), ('lodovichi', 67)]"
2619,"[('reggia', 100), ('angelieri', 64), ('angeli', 63)]"
2620,"[('antonelli', 55), ('coratelli', 55), ('dalle boccole', 49)]"
2621,"[('antonelli', 55), ('coratelli', 55), ('dalle boccole', 49)]"
2622,"[('barbarigo', 100), ('barbarico', 64), ('barbaro', 61)]"
2623,"[('perego', 100), ('de pietra', 64), ('persego', 60)]"
2624,"[('zulian', 100), ('giavarina', 100), ('gavarina', 67)]"
2625,"[('giorgio', 100), ('san', 100), ('monastero', 100)]"
2626,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2627,"[('giorgio', 100), ('san', 100), ('monastero', 100)]"
2628,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2629,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2630,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2631,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2632,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2633,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2634,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2635,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2636,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2637,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2638,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2639,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2640,"[('giorgio', 100), ('di', 100), ('san', 100)]"
2641,"[('mazza', 100), ('de lorenzo', 82), ('lorenzon', 67)]"
2642,"[('massa', 100), ('antoniassi', 69), ('tagliapietra', 52)]"
2643,"[('barbarigo', 100), ('barbaria', 53), ('barbarico', 52)]"
2644,"[('barbarigo', 100), ('barbaria', 53), ('barbarico', 52)]"
2645,"[('barbarigo', 100), ('barbaria', 53), ('barbarico', 52)]"
2646,"[('giustinian', 100), ('giustiniani', 73), ('giustiniano', 73)]"
2647,"[('giustinian', 100), ('giustiniani', 73), ('giustiniano', 73)]"
2648,"[('zen', 100), ('francesconi', 83), ('francescheti', 72)]"
2649,"[('capitolo', 100), ('san', 100), ('benetti', 52)]"
2650,"[('giustinian', 100), ('giustiniani', 69), ('giustiniano', 69)]"
2651,"[('giustinian', 100), ('francesconi', 71), ('franceschini', 69)]"
2652,"[('zen', 100), ('francesconi', 57), ('francescheti', 56)]"
