,entryOwnerText_l
92,"[('trevisan', 100), ('trevisani', 64), ('trevisana', 64)]"
93,"[('trevisan', 100), ('trevisani', 64), ('trevisana', 64)]"
94,"[('trevisan', 100), ('trevisani', 64), ('trevisana', 64)]"
95,"[('da', 100), ('da fin', 50), ('da fano', 44)]"
96,"[('da', 100), ('da fin', 50), ('da fano', 44)]"
97,"[('di', 100), ('scola', 100), ('san', 100)]"
98,"[('carlo', 100), ('ruzini', 100), ('caloprini', 76)]"
99,"[('carlo', 100), ('ruzini', 100), ('caloprini', 76)]"
100,"[('carlo', 100), ('ruzini', 100), ('caloprini', 76)]"
101,"[('carlo', 100), ('ruzini', 100), ('caloprini', 76)]"
102,"[('canonici', 100), ('cannonici', 59), ('ancilotto', 59)]"
103,"[('beccari', 61), ('ruggieri', 58), ('beccherini', 54)]"
104,"[('giavarina', 100), ('giuliano', 100), ('lion gavazza', 44)]"
105,"[('valmarana', 100), ('fratello', 44), ('grattarol dalle navi', 42)]"
106,"[('valmarana', 100), ('antonelli', 49), ('fraterna', 44)]"
107,"[('di', 100), ('procuratia', 100), ('procurative', 60)]"
108,"[('bembo', 100), ('fratello', 100), ('raimondo', 100)]"
109,"[('nerini', 100), ('nerini illasis', 60), ('giustriniani', 36)]"
110,"[('semenzi', 100), ('angeloni', 73), ('angelini', 64)]"
111,"[('zen', 100), ('giovannino', 62), ('giovannelli', 53)]"
112,"[('bianca', 100), ('rubbi', 100), ('banchieri', 44)]"
113,"[('bembo', 100), ('bonifazio', 53), ('sbonifazio', 52)]"
114,"[('calvi', 100), ('commissaria', 100), ('marchesati', 100)]"
115,"[('calvi', 100), ('commissaria', 100), ('marchesati', 100)]"
116,"[('astori', 100), ('alberti', 67), ('bertoti', 67)]"
117,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
118,"[('querini', 100), ('zuanne', 100), ('guerini', 57)]"
119,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
120,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
121,"[('nosadini', 100), ('zuanne', 100), ('nesadini', 61)]"
122,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
123,"[('beccari', 100), ('ruggieri', 61), ('beccherini', 56)]"
124,"[('battistini', 57), ('bristolani', 51), ('battistiol', 51)]"
