,entryTenantText_l
236,"('mastrosanto', 47)"
237,"('mastrosanto', 47)"
238,"('piazzola', 64)"
239,"('piazzola', 100)"
240,"('buccella', 100)"
241,"('rocco', 100)"
242,"('rossi', 100)"
243,"('nicola', 100)"
244,"('damiani', 100)"
245,"('bernardo', 100)"
246,"('nani', 86)"
247,"('negri', 100)"
248,"('sandrinelli', 74)"
249,"('bevilacqua', 100)"
250,"('donÃ\xa0', 100)"
251,"('francesconi', 62)"
252,"('francesconi', 62)"
253,"('battistini', 56)"
254,"('molin', 100)"
255,"('bernardi', 100)"
256,"('agazi', 100)"
257,"('carlo', 100)"
258,"('tirabosco', 100)"
259,"('nadali', 100)"
260,"('arme', 100)"
261,"('tirabosco', 100)"
262,"('agazi', 100)"
263,"('benzon', 100)"
264,"('signoli', 58)"
265,"('carrara', 100)"
266,"('giusti', 100)"
267,"('orsini', 100)"
268,"('licini', 100)"
269,"('pelizioli', 100)"
270,"('gozzi', 100)"
271,"('gozzi', 100)"
272,"('nani', 86)"
273,"('nani', 86)"
274,"('battistini', 57)"
275,"('santo', 100)"
276,"('campo in collo', 44)"
277,"('drusiano', 70)"
278,"('de proti', 52)"
279,"('viviani', 100)"
280,"('giovannino', 61)"
281,"('biondi', 100)"
282,"('bertuzzi', 100)"
283,"('buffetti', 100)"
284,"('costa', 100)"
285,"('antonelli', 59)"
286,"('toniolo', 70)"
287,"('malipiero', 70)"
288,"('bagolin', 100)"
289,"('ferrari', 100)"
290,"('battistiol', 54)"
291,"('torre', 100)"
292,"('domenichini', 74)"
293,"('rigo', 100)"
294,"('mussitelli', 100)"
295,"('moro', 100)"
296,"('canella', 100)"
297,"('duodo', 100)"
298,"('targa', 100)"
299,"('nani', 86)"
300,"('zuanne', 100)"
301,"('zuanne', 100)"
302,"('nani', 86)"
303,"('battistini', 56)"
304,"('bernardi', 100)"
305,"('bernardo', 100)"
306,"('rossi', 100)"
307,"('battistini', 57)"
308,"('giovannelli', 61)"
309,"('rossetti', 100)"
310,"('carosi-cattarini', 62)"
311,"('mussitelli', 100)"
312,"('carloni', 60)"
313,"('visentini', 67)"
314,"('agazi', 100)"
315,"('agazi', 100)"
316,"('zambelli', 100)"
317,"('zambelli', 100)"
318,"('carara', 100)"
319,"('cortinovis', 77)"
320,"('todeschini', 100)"
321,"('de micheli', 62)"
322,"('de', 100)"
323,"('cima', 100)"
324,"('ventura', 100)"
325,"('de pietra', 61)"
326,"('adriani', 67)"
327,"('sandrinelli', 74)"
328,"('antoniassi', 67)"
329,"('domenici', 67)"
330,"('mussolin', 100)"
331,"('domenici', 67)"
332,"('angelini', 70)"
333,"('zuanne', 100)"
334,"('zuanne', 100)"
335,"('mussolin', 100)"
336,"('antonini', 64)"
337,"('borghi', 100)"
338,"('borghi', 100)"
339,"('antoniassi', 62)"
340,"('zio', 100)"
341,"('valvason', 54)"
342,"('zuanne', 100)"
343,"('ventura', 100)"
344,"('rizzardi', 100)"
345,"('zuanne', 100)"
346,"('bernardo', 100)"
347,"('rizzardi', 100)"
348,"('rizzardi', 100)"
349,"('cecchini', 100)"
350,"('grassi', 100)"
351,"('andreola', 52)"
352,"('piero', 100)"
353,"('donÃ\xa0', 100)"
354,"('battistini', 56)"
355,"('agazi', 100)"
356,"('serafin', 100)"
357,"('serafin', 100)"
358,"('anna', 100)"
359,"('cenarin', 61)"
360,"('donÃ\xa0', 100)"
361,"('noris', 100)"
362,"('cernovicchio', 55)"
363,"('zuanne', 100)"
364,"('venenzio', 56)"
365,"('steffani', 100)"
366,"('calegari', 56)"
367,"('santini', 100)"
368,"('del', 100)"
369,"('bortolini', 70)"
370,"('bozzi', 100)"
371,"('zambelli', 100)"
372,"('donÃ\xa0', 100)"
373,"('gaspari', 100)"
374,"('rossi', 100)"
375,"('rossi', 100)"
376,"('giovannino', 56)"
377,"('rosa', 100)"
378,"('zuanne', 100)"
379,"('battistiol', 54)"
380,"('francesconi', 56)"
381,"('campisano', 59)"
382,"('gidoni', 100)"
383,"('toniato', 67)"
384,"('valvason', 56)"
385,"('locatello', 100)"
386,"('cavalieri', 67)"
387,"('bortolamiello', 71)"
388,"('locatello', 100)"
389,"('giacomuzzi', 64)"
390,"('giacomazzi', 62)"
391,"('amadi', 100)"
392,"('castellano', 62)"
393,"('dalla', 100)"
394,"('dalla', 100)"
395,"('pedrocchi', 100)"
396,"('domenici', 62)"
397,"('ballini', 58)"
398,"('bonetti', 100)"
399,"('pasini', 100)"
400,"('bazolani', 67)"
401,"('panciera', 100)"
402,"('martino', 100)"
403,"('piero', 100)"
404,"('piero', 100)"
405,"('perini', 100)"
406,"('catterina', 62)"
407,"('cortivo', 100)"
408,"('bianchi', 100)"
409,"('torre', 100)"
410,"('novello', 100)"
411,"('gamba', 100)"
412,"('corner', 100)"
413,"('da', 100)"
414,"('panziera', 64)"
415,"('zinelli', 100)"
416,"('marchesini', 64)"
417,"('lazaroni', 100)"
418,"('bonifacio', 100)"
419,"('avanzi', 100)"
420,"('rochi', 100)"
421,"('paleologo', 67)"
422,"('sardi', 100)"
423,"('sommariva', 56)"
424,"('lazaroni', 100)"
425,"('lazaroni', 100)"
426,"('gasparoni', 61)"
427,"('signoretti', 62)"
428,"('salvador', 100)"
429,"('michieli', 100)"
430,"('giacomazzi', 58)"
431,"('spadon', 100)"
432,"('spadon', 100)"
433,"('spadon', 100)"
434,"('spadon', 100)"
435,"('alessandrini', 79)"
436,"('ronchis', 57)"
437,"('borghesali', 54)"
438,"('girardi', 100)"
439,"('steffani', 64)"
440,"('di accenti', 57)"
441,"('andreato', 76)"
442,"('piero', 100)"
443,"('dressina', 73)"
444,"('calegari', 100)"
445,"('armano', 100)"
446,"('battifoglia', 64)"
447,"('antonini', 53)"
448,"('francesconi', 54)"
449,"('piero', 100)"
450,"('formentini', 69)"
451,"('formentini', 69)"
452,"('zanetti', 100)"
453,"('valvason', 54)"
454,"('coletti', 100)"
455,"('piero', 100)"
456,"('zuanne', 100)"
457,"('de luca', 100)"
458,"('piero', 100)"
459,"('fabris', 100)"
460,"('secchi', 100)"
461,"('nani', 86)"
462,"('berengo', 100)"
463,"('zuanne', 100)"
464,"('anna', 100)"
465,"('de lorenzo', 82)"
466,"('reali', 100)"
467,"('piero', 100)"
468,"('paseti', 100)"
469,"('piero', 100)"
470,"('zanetti', 100)"
471,"('cardinali', 70)"
472,"('santini', 100)"
473,"('andrighetti', 59)"
474,"('morellato', 67)"
475,"('andrighetti', 59)"
476,"('andrighetti', 59)"
477,"('marin', 100)"
478,"('bontempo', 100)"
479,"('mazzoleni', 100)"
480,"('quadri', 100)"
