Names,Names
VERONA,7
ZAPPELLA,7
RUGIA,7
VERONESE,7
FRACASSETI,7
ZULIANI,7
VETTURI,7
SEMITECOLO,7
RINALDI,7
RIGO,7
DONADONI,7
LOREDANA,7
PIZONI,7
BONTEMPI,7
LOREDANO,7
BUSIDA,7
CROTA,7
SEMENZI,7
TURRA,7
MAINARDI,7
VARISCO,6
FABBRICA,6
BALICO,6
CELEBRINI,6
ZANON,6
WIDMAN,6
BARBARIA,6
COSSALI,6
MICHIEL,6
MAJER,6
MALVEZI,6
DRIUZZI,6
MICHIELLI,6
ARMANO,6
CARNIO,6
DADA,6
ZANARDINI,6
ANDRIGHETI,6
MINOTTO,6
MARINI,6
ANDREOLA,6
FORESTI,6
CIERA,6
MARIN,6
TARGA,6
BOLLIS,6
GROTTA,6
SERIMAN,6
PAULUCCI,6
FELTRONI,6
BENTIVOGLIO,6
PERAZZO,6
CALBO,6
PERINI,6
LAVEZZARI,6
GABRIELI,6
ROSSINI,6
PICCOLI,6
PIGAZZO,6
SULAN,6
SAGRAMORA,6
FARINELLA,6
SOAVI,6
FAGARAZZI,6
POLONI,6
POLVERINI,6
STECHINI,6
RAVENA,6
PREFETURA,6
PRETI,6
GALLO,6
FALIER,6
PROCURATIA,6
DARI,6
ZIVIANI,6
DANIELI,6
FISSER,6
SCOTTI,6
SCUDELARI,6
TASSIS,6
ACERBONI,6
ALESSIO,6
SEDEA,6
SALVI,6
FRANCESCONI,6
GRATAROL,6
FLANGINI,6
CANTARUTO,6
FONTANELLA,5
VINACESE,5
SOLINI,5
GRANDIS,5
REVEDIN,5
GAGINI,5
ZAMPICENI,5
ISELLA,5
GRIFALCONI,5
MANFRE,5
FRISAN,5
SPIGA,5
DRI,5
VETTORI,5
VERONESI,5
FAVRO,5
FEDELI,5
RIVI,5
GIRARDI,5
SOGRAFI,5
LUDOVICI,5
ANTONIASSI,5
VIZENTINI,5
RUGIERI,5
SALVIONI,5
MARCON,5
ARMANI,5
LABBIA,5
SIGNORIN,5
BONADEI,5
DIONISIO,5
BONETI,5
FAUSTINI,5
SAVIONI,5
MARZARI,5
RONCALI,5
ROBUSTELLO,5
FERARI,5
BOCCHINI,5
